abiturient_id	add_time	id	name	true	ex	point	eduform_id	fintype_id
202100340	2021-06-17	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	70,78,67	1	1
202100340	2021-06-17	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	70,78,67	1	1
202100340	2021-06-17	27	Радиоэлектронные системы и комплексы	1	Математика,Физика,Русский язык	70,78,67	1	1
202100340	2021-06-17	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	70,78,67	1	1
202100340	2021-06-17	6	Оптотехника	0	Математика,Физика,Русский язык	70,78,67	1	1
202100303	2021-06-17	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	98,85,86	1	1
202100303	2021-06-17	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	98,85,86	1	1
202100103	2021-06-17	35	Интегрированные системы летательных аппаратов	1	Математика,Информатика и ИКТ,Русский язык	90,65,88	1	1
202100103	2021-06-17	36	Системы управления летательными аппаратами	0	Математика,Информатика и ИКТ,Русский язык	90,65,88	1	1
202100304	2021-06-17	39	Перевод и переводоведение	1	Иностранный язык,Обществознание,Русский язык	82,63,78	1	2
202100368	2021-06-18	11	Машиностроение	0	Математика,Физика,Русский язык	0,0,0	1	1
202100368	2021-06-18	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	0,0,0	1	1
202100469	2021-06-21	11	Машиностроение	0	Математика,Физика,Русский язык	0,0,0	2	2
202100390	2021-06-21	11	Машиностроение	1	Математика,Физика,Русский язык	80,57,64	2	2
202100408	2021-06-21	22	Управление в технических системах	0	Математика,Физика,Русский язык	82,64,59	1	1
202100408	2021-06-21	21	Стандартизация и метрология	1	Математика,Физика,Русский язык	82,64,59	1	1
202100343	2021-06-22	11	Машиностроение	1	Математика,Физика,Русский язык	70,49,41	2	2
202100404	2021-06-22	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	84,53,82	2	2
202100404	2021-06-22	17	Техносферная безопасность	0	Математика,Информатика и ИКТ,Русский язык	84,53,82	2	2
202100062	2021-06-23	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	72,66,67	1	1
202100062	2021-06-23	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	72,66,67	1	1
202100062	2021-06-23	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	72,66,67	1	1
202100014	2021-06-23	11	Машиностроение	0	Математика,Физика,Русский язык	0,0,0	2	2
202100112	2021-06-24	26	Фундаментальная и прикладная лингвистика	1	Иностранный язык,Математика,Русский язык	80,70,82	1	2
202100622	2021-06-24	6	Оптотехника	0	Математика,Физика,Русский язык	72,51,76	1	1
202100622	2021-06-24	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	72,51,76	1	1
202100622	2021-06-24	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	72,51,76	1	1
202100622	2021-06-24	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	72,51,76	1	1
202100622	2021-06-24	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	72,51,76	1	1
202100608	2021-06-24	9	Теплоэнергетика и теплотехника	1	Математика,Физика,Русский язык	70,57,82	1	1
202100608	2021-06-24	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	70,57,82	1	1
202100608	2021-06-24	21	Стандартизация и метрология	0	Математика,Физика,Русский язык	70,57,82	1	1
202100608	2021-06-24	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	70,57,82	1	1
202100608	2021-06-24	13	Прикладная механика	0	Математика,Физика,Русский язык	70,57,82	1	1
202100609	2021-06-24	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	72,57,84	1	1
202100609	2021-06-24	20	Двигатели летательных аппаратов	1	Математика,Физика,Русский язык	72,57,84	1	1
202100609	2021-06-24	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	72,57,84	1	1
202100609	2021-06-24	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	72,57,84	1	1
202100352	2021-06-24	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	68,73,76	1	1
202100661	2021-06-24	5	Приборостроение	0	Математика,Физика,Русский язык	80,61,92	1	1
202100661	2021-06-24	11	Машиностроение	0	Математика,Физика,Русский язык	80,61,92	1	1
202100661	2021-06-24	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	80,61,92	1	1
202100661	2021-06-24	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	1	Математика,Физика,Русский язык	80,61,92	1	1
202100661	2021-06-24	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	80,61,92	1	1
202100699	2021-06-25	11	Машиностроение	0	Математика,Физика,Русский язык	39,46,67	1	1
202100699	2021-06-25	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	39,46,67	1	1
202100699	2021-06-25	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	39,46,67	1	1
202100699	2021-06-25	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	39,46,67	1	1
202100699	2021-06-25	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	39,46,67	1	1
202100290	2021-06-25	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	70,54,82	1	1
202100290	2021-06-25	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	70,54,82	1	2
202100290	2021-06-25	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	70,54,82	1	1
