,abiturient_id,spec_id,status,predmet_1,predmet_2,predmet_3,predmet_1_bal,predmet_2_bal,predmet_3_bal,edu_form,fin_type,sum_bal
46,202100062,1,0,Математика,Информатика и ИКТ,Русский язык,72,66,67,1,1,204
47,202100062,2,0,Математика,Информатика и ИКТ,Русский язык,72,66,67,1,1,204
48,202100062,3,0,Математика,Информатика и ИКТ,Русский язык,72,66,67,1,1,204
50,202100112,26,1,Иностранный язык,Математика,Русский язык,80,70,82,1,2,220
51,202100622,6,0,Математика,Физика,Русский язык,72,51,76,1,1,174
52,202100622,8,0,Математика,Физика,Русский язык,72,51,76,1,1,174
53,202100622,32,0,Математика,Физика,Русский язык,72,51,76,1,1,174
54,202100622,18,0,Математика,Физика,Русский язык,72,51,76,1,1,174
55,202100622,33,0,Математика,Физика,Русский язык,72,51,76,1,1,174
56,202100608,9,1,Математика,Физика,Русский язык,70,57,82,1,1,184
57,202100608,20,0,Математика,Физика,Русский язык,70,57,82,1,1,184
58,202100608,21,0,Математика,Физика,Русский язык,70,57,82,1,1,184
59,202100608,16,0,Математика,Физика,Русский язык,70,57,82,1,1,184
60,202100608,13,0,Математика,Физика,Русский язык,70,57,82,1,1,184
61,202100609,18,0,Математика,Физика,Русский язык,72,57,84,1,1,186
62,202100609,20,1,Математика,Физика,Русский язык,72,57,84,1,1,186
63,202100609,32,0,Математика,Физика,Русский язык,72,57,84,1,1,186
64,202100609,33,0,Математика,Физика,Русский язык,72,57,84,1,1,186
65,202100352,2,0,Математика,Информатика и ИКТ,Русский язык,68,73,76,1,1,214
66,202100661,5,0,Математика,Физика,Русский язык,80,61,92,1,1,202
67,202100661,11,0,Математика,Физика,Русский язык,80,61,92,1,1,202
68,202100661,12,0,Математика,Физика,Русский язык,80,61,92,1,1,202
69,202100661,32,1,Математика,Физика,Русский язык,80,61,92,1,1,202
70,202100661,15,0,Математика,Физика,Русский язык,80,61,92,1,1,202
71,202100699,11,0,Математика,Физика,Русский язык,39,46,67,1,1,131
72,202100699,12,0,Математика,Физика,Русский язык,39,46,67,1,1,131
73,202100699,15,0,Математика,Физика,Русский язык,39,46,67,1,1,131
74,202100699,19,0,Математика,Физика,Русский язык,39,46,67,1,1,131
75,202100699,31,0,Математика,Физика,Русский язык,39,46,67,1,1,131
76,202100290,9,0,Математика,Физика,Русский язык,70,54,82,1,1,178
77,202100290,9,0,Математика,Физика,Русский язык,70,54,82,1,2,178
78,202100290,34,0,Математика,Физика,Русский язык,70,54,82,1,1,178
79,202100290,34,0,Математика,Физика,Русский язык,70,54,82,1,2,178
80,202100290,19,0,Математика,Физика,Русский язык,70,54,82,1,1,178
81,202100290,19,0,Математика,Физика,Русский язык,70,54,82,1,2,178
82,202100290,22,0,Математика,Физика,Русский язык,70,54,82,1,1,178
83,202100290,22,0,Математика,Физика,Русский язык,70,54,82,1,2,178
84,202100290,37,0,Математика,Физика,Русский язык,70,54,82,1,1,178
85,202100290,37,0,Математика,Физика,Русский язык,70,54,82,1,2,178
86,202100432,1,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,1,208
87,202100432,3,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,1,208
88,202100432,2,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,1,208
89,202100432,1,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,2,208
90,202100432,3,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,2,208
91,202100432,2,0,Математика,Информатика и ИКТ,Русский язык,50,79,89,1,2,208
92,202100718,9,0,Математика,Физика,Русский язык,62,66,69,1,1,194
93,202100718,9,0,Математика,Физика,Русский язык,62,66,69,1,2,194
94,202100718,22,0,Математика,Физика,Русский язык,62,66,69,1,1,194
95,202100718,22,0,Математика,Физика,Русский язык,62,66,69,1,2,194
96,202100718,5,1,Математика,Физика,Русский язык,62,66,69,1,1,194
97,202100718,5,0,Математика,Физика,Русский язык,62,66,69,1,2,194
98,202100718,10,0,Математика,Физика,Русский язык,62,66,69,1,1,194
99,202100718,10,0,Математика,Физика,Русский язык,62,66,69,1,2,194
100,202100718,18,0,Математика,Физика,Русский язык,62,66,69,1,1,194
101,202100718,18,0,Математика,Физика,Русский язык,62,66,69,1,2,194
102,202100426,5,0,Математика,Физика,Русский язык,78,55,70,1,1,188
103,202100426,9,0,Математика,Физика,Русский язык,78,55,70,1,1,188
104,202100426,21,0,Математика,Физика,Русский язык,78,55,70,1,1,188
105,202100671,11,0,Математика,Физика,Русский язык,80,83,94,1,1,246
106,202100671,15,0,Математика,Физика,Русский язык,80,83,94,1,1,246
107,202100671,13,0,Математика,Физика,Русский язык,80,83,94,1,1,246
